,year,phw_wgt,pod_wgt,phd_wgt,sd_phw_wgt,sd_pod_wgt,sd_phd_wgt,phw_adj_K4,phd_adj_K4,pod_adj_K4,sd_phw_adj_K4,sd_phd_adj_K4,sd_pod_adj_K4,phw_adj_tvsCM,phd_adj_tvsCM,pod_adj_tvsCM,sd_phw_adj_tvsCM,sd_phd_adj_tvsCM,sd_pod_adj_tvsCM,phw_adj_teCM,phd_adj_teCM,pod_adj_teCM,sd_phw_adj_teCM,sd_phd_adj_teCM,sd_pod_adj_teCM
12,1986,64.23918914794922,5.1462931632995605,12.04944133758545,0.4167017638683319,0.008818894624710083,0.06577401608228683,107.20958709716797,18.34537696838379,5.588956832885742,0.5543981790542603,0.07599955797195435,0.013065418228507042,96.91560363769531,17.08101463317871,5.424346923828125,0.5388659834861755,0.07689641416072845,0.012283344753086567,86.92726135253906,15.809418678283691,5.290122032165527,0.5068204998970032,0.0768660232424736,0.010763946920633316
13,1987,66.35301971435547,5.168344497680664,12.352888107299805,0.4312116801738739,0.00913461297750473,0.06773693114519119,111.27140808105469,18.927724838256836,5.694053649902344,0.5261009335517883,0.07051719725131989,0.01115528866648674,101.30392456054688,17.72739601135254,5.534262180328369,0.5144538879394531,0.07209073007106781,0.010423759929835796,91.14755249023438,16.422039031982422,5.384073734283447,0.4927895963191986,0.07336176931858063,0.009544485248625278
14,1988,66.48296356201172,5.173439025878906,12.397967338562012,0.43464940786361694,0.009026662446558475,0.06840384006500244,110.71531677246094,18.95775032043457,5.662495136260986,0.5226699709892273,0.07077748328447342,0.011222541332244873,101.19966125488281,17.817424774169922,5.510231018066406,0.509323239326477,0.07199044525623322,0.010449452325701714,91.26078033447266,16.509790420532227,5.366338729858398,0.4914664328098297,0.07404863834381104,0.009718872606754303
15,1989,67.24132537841797,5.212088108062744,12.509963035583496,0.45981845259666443,0.009788047522306442,0.07418224960565567,110.55009460449219,19.059898376464844,5.641445636749268,0.5471236705780029,0.07554610818624496,0.011681413277983665,102.45561218261719,17.98906898498535,5.535109043121338,0.5401079058647156,0.07680892944335938,0.011046400293707848,91.47642517089844,16.50656509399414,5.3884711265563965,0.5263843536376953,0.07929830253124237,0.01019776239991188
16,1990,66.68413543701172,5.161229133605957,12.441596984863281,0.45305508375167847,0.010560278780758381,0.07324893027544022,109.27188110351562,18.911182403564453,5.592311382293701,0.5381996631622314,0.07521320879459381,0.012151965871453285,101.11432647705078,17.808429718017578,5.488545894622803,0.5335683226585388,0.07657184451818466,0.011572690680623055,89.9529800415039,16.285106658935547,5.334887981414795,0.5190525650978088,0.07877802848815918,0.01100106630474329
17,1991,67.13646697998047,5.20592737197876,12.502416610717773,0.4726814329624176,0.01029486209154129,0.07660572975873947,112.41520690917969,19.250871658325195,5.693110466003418,0.5813600420951843,0.07902773469686508,0.012286459095776081,104.49494934082031,18.20061492919922,5.583832740783691,0.5813521146774292,0.08154060691595078,0.01181014534085989,93.81687927246094,16.7974910736084,5.4306640625,0.5687487125396729,0.08393419533967972,0.010960816405713558
18,1992,67.81021118164062,5.179590225219727,12.607748031616211,0.4738123416900635,0.011418331414461136,0.07704953849315643,112.7297134399414,19.192108154296875,5.715371608734131,0.5414345264434814,0.07339764386415482,0.01166718639433384,105.0611343383789,18.2462215423584,5.59772253036499,0.5373899340629578,0.07547897100448608,0.011068270541727543,94.47188568115234,16.833454132080078,5.452579975128174,0.5280789136886597,0.07790008187294006,0.010437791235744953
19,1993,66.81224822998047,5.178780555725098,12.492671012878418,0.4692966043949127,0.009876037016510963,0.0755886361002922,115.15399169921875,19.434818267822266,5.771681308746338,0.5452776551246643,0.07224252074956894,0.011712899431586266,106.2840347290039,18.39965057373047,5.617750644683838,0.5408019423484802,0.07491666078567505,0.011136693879961967,95.50093841552734,16.971906661987305,5.471610069274902,0.5332506895065308,0.07785405218601227,0.010370209813117981
20,1994,67.83412170410156,5.146018981933594,12.627988815307617,0.47565147280693054,0.01188164483755827,0.07567047327756882,116.85282897949219,19.471332550048828,5.821197986602783,0.5420339107513428,0.07134011387825012,0.012258395552635193,107.8455810546875,18.482873916625977,5.649229049682617,0.5398366451263428,0.07406852394342422,0.0119346734136343,97.1756591796875,17.069608688354492,5.506447792053223,0.5343618392944336,0.07690305262804031,0.011293696239590645
21,1995,67.43279266357422,5.266164779663086,12.207879066467285,0.3802071511745453,0.007703125011175871,0.05570088326931,111.3141098022461,18.77328872680664,5.76910924911499,0.4258321225643158,0.05867740884423256,0.008676748722791672,104.3271713256836,17.91218376159668,5.649658203125,0.4240320920944214,0.05945470929145813,0.008508894592523575,95.516845703125,16.66609001159668,5.533449172973633,0.4203011393547058,0.06037463992834091,0.008009606972336769
22,1996,67.2966537475586,5.238750457763672,12.23923110961914,0.3828262984752655,0.008623900823295116,0.05565200746059418,111.25244140625,18.771278381347656,5.764138221740723,0.42991262674331665,0.05842769145965576,0.009347242303192616,104.21512603759766,17.93594741821289,5.63411283493042,0.4288927912712097,0.05922950804233551,0.009404503740370274,95.2555160522461,16.67041778564453,5.5134053230285645,0.4252465069293976,0.06018562242388725,0.009021307341754436
23,1997,68.01773071289062,5.286273002624512,12.529821395874023,0.35145464539527893,0.006538247223943472,0.05506002530455589,113.82720947265625,19.210172653198242,5.793813705444336,0.3962458372116089,0.05363805592060089,0.008114803582429886,107.50733947753906,18.456499099731445,5.690432548522949,0.39614227414131165,0.05536317452788353,0.007855390198528767,97.7668228149414,17.134719848632812,5.56752872467041,0.3947106897830963,0.057431504130363464,0.00745063740760088
24,1998,,,,0.42951303720474243,0.013543381355702877,0.06222737208008766,,,,0.5034059882164001,0.07213535159826279,0.012429755181074142,,,,0.4944615960121155,0.07112382352352142,0.012760443612933159,,,,0.4846033453941345,0.07023952156305313,0.012899735942482948
25,1999,69.0248031616211,5.211005687713623,12.685401916503906,0.400829553604126,0.007263834122568369,0.06141966953873634,117.43505096435547,19.766563415527344,5.76563024520874,0.41614776849746704,0.05637813359498978,0.008999930694699287,111.30284881591797,19.126495361328125,5.642548084259033,0.4164597690105438,0.05850274860858917,0.008667330257594585,101.02863311767578,17.741798400878906,5.504565238952637,0.42642146348953247,0.06235405057668686,0.008123607374727726
26,2000,65.39625549316406,5.207479000091553,12.263578414916992,0.36899131536483765,0.0068116155453026295,0.060042839497327805,113.39839172363281,19.45620346069336,5.697493076324463,0.418063223361969,0.05874263867735863,0.009152666665613651,107.1390380859375,18.69622039794922,5.600044250488281,0.42163243889808655,0.06104660779237747,0.00887416023761034,96.95758056640625,17.3596248626709,5.4487738609313965,0.4241710901260376,0.06425925344228745,0.008184727281332016
27,2001,64.44197082519531,5.126367092132568,12.32067584991455,0.3658776879310608,0.007281936705112457,0.06054287403821945,111.31938934326172,19.456668853759766,5.595921993255615,0.430257111787796,0.06061096116900444,0.009845773689448833,105.26836395263672,18.663108825683594,5.513608932495117,0.4330884516239166,0.06283847987651825,0.009433312341570854,94.265625,17.2193603515625,5.345204830169678,0.4299066662788391,0.0660480409860611,0.008575269021093845
28,2002,65.99356842041016,5.12568998336792,12.444286346435547,0.3800651729106903,0.00788598321378231,0.06023974344134331,111.18673706054688,19.39797592163086,5.604002475738525,0.43690216541290283,0.06205035746097565,0.009795624762773514,104.71192169189453,18.549137115478516,5.513878345489502,0.4360678493976593,0.06402185559272766,0.009162545204162598,95.28768920898438,17.293733596801758,5.369219779968262,0.43590763211250305,0.06680627167224884,0.008507613092660904
29,2003,67.07476043701172,5.142075538635254,12.56114387512207,0.39848339557647705,0.00779050262644887,0.06221552565693855,114.76655578613281,19.81829071044922,5.639193058013916,0.4545672535896301,0.06247531250119209,0.010064564645290375,108.10144805908203,19.08254623413086,5.520498275756836,0.4485291838645935,0.06466732174158096,0.009373740293085575,97.39042663574219,17.565935134887695,5.383091449737549,0.4561077952384949,0.06870132684707642,0.008691225200891495
30,2004,65.06410217285156,5.141582012176514,12.232945442199707,0.3837362825870514,0.007551654241979122,0.06067556142807007,111.6518783569336,19.32497215270996,5.6505584716796875,0.42775118350982666,0.060338519513607025,0.00987782422453165,104.49299621582031,18.432910919189453,5.539988994598389,0.42598849534988403,0.06247807294130325,0.009214065037667751,94.15660858154297,17.031661987304688,5.385634422302246,0.42623767256736755,0.06531788408756256,0.00840248353779316
